eid,gp2025,fp2025
4872587,30,1637
42359,32,1771
4905921,154,1278
42403,157,1486
36018,48,324
39832,158,2231
36969,160,1653
35983,155,1343
5016968,137,983
4719507,32,1821
42404,141,1386
30948,21,1275
4717833,156,1250
33712,162,1609
5080761,15,573
4730225,60,1009
32801,158,1477
42409,31,2039
34943,32,1336
32512,126,1248
5134581,14,619
4918256,157,1098
30951,132,1202
32767,162,1444
39667,32,1539
4917694,162,1217
4927516,13,412
39895,150,1089
31267,24,1557
36185,95,838
33192,152,1802
41179,155,1309
42402,144,1136
4987924,76,1019
4810190,123,885
41221,25,1273
4684778,108,383
37498,162,1511
32685,32,1592
4345070,138,935
30193,147,1310
4345076,31,1288
32796,30,1526
5080771,18,123
33912,152,1357
4917869,131,1087
41219,156,1331
34886,114,918
33783,157,1157
42453,138,983
4619898,7,306
4629089,30,1661
42584,31,1114
32082,32,1415
41044,160,1343
36488,160,1122
41917,142,1018
4433874,8,481
33039,150,1319
42507,154,1218
41109,72,952
31097,159,1225
33481,150,1253
30442,67,1077
41216,34,1680
4725251,119,597
42470,159,922
34967,136,1239
39572,154,1246
35002,156,1443
4717803,31,1678
30836,130,844
4142424,151,1115
41282,26,556
33748,11,546
35241,31,874
42450,31,1488
38303,64,943
33190,18,782
40429,15,571
32129,160,1546
4917888,74,676
42468,155,1029
4872691,114,832
38980,154,846
4416591,144,976
41292,159,1583
40459,138,1021
42406,23,965
33859,163,1352
32760,48,901
32667,32,1449
33710,141,1270
39712,135,717
33618,70,837
39961,134,1125
5134630,25,967
41355,161,1596
4990055,112,753
41326,138,980
32655,126,1203
4345620,125,673
41433,130,1023
4297835,32,2070
40939,64,1001
40973,31,971
42179,157,1114
38904,139,1237
4966140,7,92
32675,29,818
41287,152,1032
31174,22,1232
4917854,20,750
39825,33,1628
41889,107,795
35013,83,396
41197,65,270
40884,73,681
4917878,5,282
31662,155,1112
32640,31,940
4917889,91,675
42178,90,479
42464,82,565
34945,150,1100
4326697,61,611
39817,26,1171
4308037,10,269
41996,156,1121
5080767,71,529
36581,31,1351
32159,155,1135
33372,40,849
4345164,12,412
42598,123,991
41610,157,1133
35304,121,591
32175,32,1347
32078,139,1346
4867679,28,806
41273,125,1037
42480,27,778
4987382,153,969
31127,155,1010
4966637,117,1228
4719324,133,907
40080,50,739
4311625,6,353
38309,110,863
35066,146,1360
41509,42,456
3210625,33,617
4345278,31,1155
4666100,128,1080
4683375,11,255
31283,150,1182
4629081,138,759
34982,102,594
33224,67,807
39636,30,1153
32691,102,884
5294127,16,339
33303,100,748
34923,157,1162
4977664,49,423
39640,18,970
33403,70,930
33696,33,1618
4905884,159,1224
36071,31,1574
42457,81,220
4926296,62,215
39706,102,759
33709,17,527
5134621,149,1023
34401,31,1289
32758,154,1075
42417,146,1057
35394,62,1069
4297897,22,395
32532,135,1038
4417208,24,949
35183,144,932
33377,134,915
4686066,157,1131
33804,145,1185
