player,group,gp2025,gp2026,residual2025,residual2026
Andruw Monasterio,POS,53.0,97,0.4482,0.7054
Luis Campusano,POS,10.0,58,-0.2228,0.6998
Jonny DeLuca,POS,20.0,90,0.1305,0.599
Kenley Jansen,RP,62.0,43,0.8843,0.5328
Tyrone Taylor,POS,103.0,82,0.195,0.5312
Jovani Moran,RP,2.0,45,0.047,0.5292
Hayden Wesneski,SP,6.0,7,0.3342,0.5191
Paul Blackburn,RP,15.0,55,0.2138,0.4881
Yuki Matsui,RP,61.0,44,0.058,0.4836
Brent Suter,RP,48.0,49,0.1387,0.4783
Sonny Gray,SP,32.0,26,0.4798,0.4613
Christian Encarnacion-Strand,POS,36.0,42,0.3128,0.4541
George Springer,POS,139.0,110,1.0094,0.4254
Emilio Pagan,RP,70.0,39,0.5567,0.4104
Jake McCarthy,POS,65.0,127,-0.0972,0.3843
Caleb Thielbar,RP,67.0,52,0.6013,0.3622
Taylor Walls,POS,93.0,114,0.4426,0.3588
Ty France,POS,136.0,113,0.0731,0.3493
George Soriano,RP,24.0,64,0.0277,0.3382
Griffin Jax,RP,73.0,30,-0.1855,0.3352
Dylan Cease,SP,32.0,26,-0.0267,0.3262
Josh Hader,RP,48.0,40,0.3546,0.2957
Logan Henderson,SP,5.0,15,0.1503,0.2825
Christian Yelich,POS,150.0,102,0.5232,0.2805
Jeremy Pena,POS,125.0,93,0.2754,0.2788
Oneil Cruz,POS,135.0,80,-0.0418,0.2563
Jeff McNeil,POS,122.0,127,0.2943,0.2533
Mason Miller,RP,60.0,57,0.072,0.2532
Ryan Fernandez,RP,32.0,17,-0.1735,0.253
Michael Wacha,SP,31.0,28,0.01,0.2517
Randal Grichuk,POS,112.0,98,0.0716,0.2503
Tyler Glasnow,SP,18.0,10,0.1328,0.2503
Ryan Jeffers,C,115.0,79,-0.0778,0.2372
Luis Arraez,POS,154.0,135,0.2133,0.2335
Shohei Ohtani,POS,158.0,129,0.1596,0.2322
Ryan Yarbrough,RP,19.0,32,0.766,0.2273
David Hamilton,POS,75.0,104,0.12,0.2236
Cole Sulser,RP,18.0,42,0.1914,0.2181
Brandon Marsh,POS,127.0,135,0.1319,0.2111
James McCann,C,38.0,42,0.2294,0.2014
Blake Snell,SP,11.0,6,0.1929,0.1906
Randy Arozarena,POS,160.0,136,0.0792,0.1862
Joey Wiemer,POS,20.0,27,0.0632,0.181
Yordan Alvarez,POS,48.0,142,-0.0644,0.1806
Brennan Bernardino,RP,55.0,67,0.1557,0.1706
Yandy Diaz,POS,150.0,138,0.173,0.1664
Kevin Kelly,RP,41.0,63,-0.2747,0.1608
Nate Pearson,RP,11.0,33,-0.3242,0.1597
Marcell Ozuna,POS,145.0,69,0.6392,0.1566
Jorge Mateo,POS,36.0,76,-0.1888,0.1557
Brandon Lowe,POS,134.0,134,0.1709,0.1524
Isiah Kiner-Falefa,POS,132.0,46,0.0433,0.1438
