mechanism,player,org,pos,tier,age,il,appearances,rate_per_app,expected_rate,w,pm_before,pm_after,dollar_before,dollar_after,dollar_delta
floor released,Hunter Brown,Dirty Spikes,SP,T1,27,ACTIVE,16,41.12,50.82,0.516,0.5,0.911,1.42,2.43,1.01
floor released,Blake Snell,KC Gray Hotdogs,SP,T2,33,ACTIVE,6,56.83,34.09,0.286,0.5,1.172,0.7,1.55,0.85
floor released,Carlos Rodon,MidwestBears,SP,T1,33,ACTIVE,13,40.0,42.06,0.464,0.5,0.98,1.01,1.86,0.85
floor released,Ronald Acuna Jr.,C-Town Liquors,RF,T2,28,ACTIVE,90,7.74,12.17,0.566,0.5,0.815,1.56,2.41,0.85
floor released,Jackson Holliday,C-Town Liquors,2B,T3,22,ACTIVE,91,5.12,7.73,0.569,0.5,0.827,1.35,2.11,0.76
floor released,Anthony Volpe,Balking Dead,SS,T3,25,ACTIVE,55,5.09,7.8,0.444,0.5,0.861,1.19,1.94,0.75
floor released,Jasson Dominguez,FA,LF,T3,23,ACTIVE,55,4.53,4.51,0.444,0.5,1.002,0.75,1.43,0.68
floor released,Joey Wiemer,FA (WSH),RF,T1,27,ACTIVE,27,6.22,3.79,0.281,0.5,1.163,0.55,1.21,0.66
floor released,Cade Povich,FA (BAL),SP,T3,26,ACTIVE,7,24.71,19.77,0.318,0.5,1.072,0.63,1.28,0.65
floor released,Nick Lodolo,FA (was Kansas Sunflower Seeds),SP,T1,28,ACTIVE,17,23.06,35.39,0.531,0.5,0.833,1.06,1.66,0.6
floor released,Patrick Sandoval,FA,SP,T1,29,ACTIVE,10,26.4,31.3,0.4,0.5,0.944,0.77,1.37,0.6
floor released,JP Sears,FA (SD),SP,T2,30,ACTIVE,8,19.62,25.97,0.348,0.5,0.924,0.78,1.37,0.59
floor released,Ronel Blanco,FA (HOU),SP,T2,32,ACTIVE,6,17.0,36.7,0.286,0.5,0.862,0.95,1.54,0.59
floor released,Grayson Rodriguez,C-Town Liquors,SP,T3,26,ACTIVE,16,22.44,28.74,0.516,0.5,0.898,0.8,1.36,0.56
floor released,Max Schuemann,FA,2B,T2,28,ACTIVE,36,4.5,3.74,0.343,0.5,1.063,0.56,1.12,0.56
floor released,Josh Rojas,FA,3B,T2,31,ACTIVE,36,4.36,4.57,0.343,0.5,0.986,0.65,1.21,0.56
floor released,Nick Castellanos,Balking Dead,RF,T2,34,ACTIVE,39,3.79,5.95,0.361,0.5,0.882,0.83,1.38,0.55
floor released,Orlando Arcia,FA (MIN),SS,T2,31,ACTIVE,17,3.53,4.77,0.198,0.5,0.954,0.68,1.22,0.54
floor released,LaMonte Wade Jr.,FA,1B,T2,32,ACTIVE,46,4.33,4.49,0.4,0.5,0.987,0.61,1.14,0.53
